未来盒子3.0使用情况,,,,
GPIO1,Grove,接口6,,
GPIO2,Grove,接口6,,
GPIO3,Grove,接口3,,
GPIO4,Grove,接口3,,
GPIO5,Grove,接口5,,
GPIO6,Grove,接口5,,
GPIO7,Grove,接口2,,
GPIO8,Grove,接口2,,
GPIO9,PS2,私有接口协议,,
GPIO10,PS2,私有接口协议,,
GPIO41,PS2,私有接口协议,,
GPIO42,PS2,私有接口协议,,
GPIO11,Motor,前左,,
GPIO12,Motor,前左,,
GPIO13,Motor,前右,,
GPIO14,Motor,前右,,
GPIO15,Motor,后左,,
GPIO16,Motor,后左,,
GPIO17,Motor,后右,,
GPIO18,Motor,后右,,
GPIO19,排针引出引脚,串口TX,,
GPIO20,排针引出引脚,串口RX,,
GPIO21,Key,按键A,,
GPIO0,Key,按键B-BOOT,,
GPIO47,Servo,S1,,
GPIO48,Servo,S2,,
GPIO26,Grove,接口4,,
GPIO27,Flash,8M,,
GPIO28,Flash,8M,,
GPIO29,Flash,8M,,
GPIO30,Flash,8M,,
GPIO31,Flash,8M,,
GPIO32,Flash,8M,,
GPIO33,RGB LED,LED控制总线,,
GPIO34,UART2,语音模块通信接口,,
GPIO35,UART2,语音模块通信接口,,
GPIO36,I2C2,摄像头AI板通信接口,,
GPIO37,I2C2,摄像头AI板通信接口,,
GPIO38,Grove,接口4,,
GPIO39,UART0,"程序下载
调试串口",,
GPIO40,UART0,"程序下载
调试串口",,
GPIO43,排针引出引脚,TX2,,
GPIO44,排针引出引脚,RX2,,
GPIO45,排针引出引脚,Flash电压选择IO,,
GPIO46,排针引出引脚,启动模式选择IO,,
